1    1.00000      19993      19993    0.00010
2    0.64056      10942      17082    0.01297
3    0.20714       2506      12098    0.02919
4    0.14737       1799      12207    0.04379
5    0.13850       1550      11191    0.06568
6    0.13339       1483      11118    0.09853
7    0.13524       1070       7912    0.09853
7    0.12153       1481      12186    0.14779
8    0.13228        684       5171    0.09853
8    0.11734       1101       9383    0.14779
8    0.11586       1578      13620    0.22168
9    0.12066        372       3083    0.09853
9    0.11144        752       6748    0.14779
9    0.11309       1253      11080    0.22168
10    0.12890        215       1668    0.09853
10    0.10985        505       4597    0.14779
10    0.11463        976       8514    0.22168
10    0.12068       1588      13159    0.33253
11    0.15212        122        802    0.09853
11    0.11643        333       2860    0.14779
11    0.11379        708       6222    0.22168
11    0.12000       1305      10875    0.33253
12    0.17529         61        348    0.09853
12    0.11797        193       1636    0.14779
12    0.11408        491       4304    0.22168
12    0.11978       1030       8599    0.33253
12    0.13216       1818      13756    0.49879
