1    1.00000      19993      19993    0.00000
2    0.61451      10497      17082    0.01035
3    0.18408       2227      12098    0.02219
4    0.13091       1598      12207    0.04325
5    0.12072       1351      11191    0.06332
6    0.12303        920       7478    0.06332
6    0.12303        920       7478    0.06965
6    0.11963       1058       8844    0.07662
6    0.11734       1175      10014    0.08428
7    0.12582        557       4427    0.06332
7    0.12582        557       4427    0.06965
7    0.12049        681       5652    0.07662
7    0.11724        801       6832    0.08428
7    0.11400        902       7912    0.09271
7    0.11400        902       7912    0.10198
7    0.11074        991       8949    0.11218
7    0.10749       1149      10689    0.12340
8    0.12230        289       2363    0.06332
8    0.12230        289       2363    0.06965
8    0.11489        378       3290    0.07662
8    0.11077        470       4243    0.08428
8    0.10540        545       5171    0.09271
8    0.10540        545       5171    0.10198
8    0.10118        617       6098    0.11218
8    0.09976        781       7829    0.12340
8    0.10037        865       8618    0.13574
8    0.09933        932       9383    0.14931
8    0.09954       1075      10800    0.16424
9    0.12837        143       1114    0.06332
9    0.12837        143       1114    0.06965
9    0.12351        207       1676    0.07662
9    0.10928        259       2370    0.08428
9    0.10023        309       3083    0.09271
9    0.10023        309       3083    0.10198
9    0.09903        378       3817    0.11218
9    0.09589        508       5298    0.12340
9    0.09882        595       6021    0.13574
9    0.09855        665       6748    0.14931
9    0.09840        798       8110    0.16424
9    0.09915        865       8724    0.18066
9    0.10183       1011       9928    0.19873
9    0.10361       1148      11080    0.21860
10    0.13607         63        463    0.06332
10    0.13607         63        463    0.06965
10    0.13243         98        740    0.07662
10    0.12308        144       1170    0.08428
10    0.11451        191       1668    0.09271
10    0.11451        191       1668    0.10198
10    0.10967        237       2161    0.11218
10    0.10030        337       3360    0.12340
10    0.10158        399       3928    0.13574
10    0.10311        474       4597    0.14931
10    0.10280        592       5759    0.16424
10    0.10362        652       6292    0.18066
10    0.10655        787       7386    0.19873
10    0.10817        921       8514    0.21860
10    0.10855       1033       9516    0.24046
10    0.11030       1146      10390    0.26451
